ID,left_forefemur,left_foretibia,left_ear,right_forefemur,right_foretibia,right_ear
QDVU,12.089,12.881,3.014,11.804,12.869,2.869
QDXY,13.884,14.056,2.98,13.327,13.673,2.78
QIIV,10.745,11.601,2.218,10.403,11.07,1.926
QMKN,12.436,13.071,3.187,11.932,12.595,3.235
QOGZ,12.476,12.644,3.131,12.202,12.386,2.977
QQJU,11.44,13.106,3.049,10.674,12.736,3.178
QRKY,11.68,12.274,2.931,11.043,11.67,2.634
QSRM,13.133,13.353,3.184,12.712,12.948,3.019
QUAR,,,,10.925,11.222,2.495
QXSG,11.979,12.836,3.001,11.648,12.488,2.674
QYFB,10.758,11.292,2.519,10.411,11.059,2.552
QZHA,11.292,12.511,2.76,11.139,12.031,2.754
RBAX,12.619,13.248,2.715,12.284,12.822,2.931
RBFY,12.899,13.267,3.13,12.888,13.6,3.336
RCMK,11.132,11.599,2.194,,,
RDRL,11.974,12.365,2.69,11.724,12.088,2.258
RIJE,11.675,12.162,2.559,11.052,11.613,2.358
RIWP,12.421,13.271,3.767,12.047,13.447,3.491
RJGO,12.395,13.057,3.06,11.933,12.714,2.724
RJVU,11.853,12.594,3.068,11.493,12.071,2.906
RMQE,12.175,13.104,2.942,11.807,12.896,3.066
RNCJ,11.787,12.559,3.016,11.503,12.096,2.851
RNFD,13.25,13.506,3.164,12.637,13.104,3.101
RPNA,11.585,12.042,2.202,10.988,11.405,2.03
RQME,12.343,13.581,3.148,12.017,12.722,3.068
RSFE,13.915,14.206,3.583,13.399,13.865,3.549
RTXD,12.671,13.306,3.074,12.018,13.087,2.996
RWGW,11.326,12.067,2.677,10.901,11.805,2.509
SBJV,13.925,14.12,3.397,13.462,14.17,3.206
SBJVC,13.472,13.643,3.399,13.201,13.073,2.866
SCBI,14.362,14.971,3.725,13.809,14.395,3.736
SCXD,12.17,13.249,3.029,11.614,13.061,3.062
SDBA,12.689,13.012,2.702,12.543,12.749,2.736
SDVC,13.749,14.043,2.656,13.215,13.735,3.297
SEVZ,13.321,14.369,3.529,,,
