ID,year,sex,Category,testes,head length,1st left femur,1st right femur,1.femur,1st left tibia,1st right tibia,1.tibia,1st left tarsus,1st right tarsus,1.tarsus,left ear,right ear,ear,2nd left femur,2nd right femur,2.femur,2nd left tibia,2nd right tibia,2.tibia,2nd left tarsus,2nd right tarsus,2.tarsus,3rd left femur,3rd right femur,3.femur,3rd left tibia,3rd right tibia,3.tibia,3rd left tarsus,3rd right tarsus,3.tarsus,pronotum,head width,left eye,right eye,best eye clarity
Y18,2006,Male,eight,0.01751,18.67,10.28,10.54,10.41,12.29,12.18,12.235,3.68,3.82,3.75,3.07,3.1,3.085,10.05,10.23,10.14,11.6,11.51,11.555,3.26,3.75,3.505,17.24,16.99,17.115,17.7,17.68,17.69,3.66,3.09,3.375,6.48,9.64,2.96,2.72,both
Y19,2006,Male,nine,0.01052,19.8,10.79,10.37,10.58,12.74,12.48,12.61,3.78,3.62,3.7,2.91,2.57,2.74,10.89,10.79,10.84,12.38,12.3,12.34,3.5,3.68,3.59,18.04,18.38,18.21,18.25,18.5,18.375,3.98,3.3,3.64,6.51,10.37,3.59,3.13,both
Y21,2006,Male,eight,0.0143,18.52,11.75,11.92,11.835,13.01,13.7,13.355,3.83,3.73,3.78,3.42,3.37,3.395,no picture,11.4,11.4,no picture,12.52,12.52,no picture,3.89,3.89,18.7,19.37,19.035,20.03,20.37,20.2,3.45,3.98,3.715,6.87,10.38,3.9,3.25,both
Y22,2006,Male,eight,0.01204,13.52,9.37,9.56,9.465,11.35,11.32,11.335,no tarsus,3.41,3.41,2.41,2.53,2.47,9.44,9.18,9.31,10.55,10.22,10.385,no tarsus,no tarsus,,14.93,15.12,15.025,15.44,12.01,13.725,no tarsus,no tarsus,2.882,5.51,7.36,2.58,2.28,both
Y23,2006,Male,nine,0.01163,20.6,11.4,11.51,11.455,13.18,13.19,13.185,3.62,3.88,3.75,3.31,3.26,3.285,10.96,10.81,10.885,8.79 (broken),12.77,12.77,no tarsus,3.69,3.69,18.36,18.8,18.58,19.17,20.32,19.745,3.48,3.89,3.685,6.66,10.59,3.82,3.33,both
Y24,2006,Male,eight,0.03158,16.54,10.95,10.51,10.73,11.81,12.22,12.015,3.61,3.5,3.555,2.42,2.61,2.515,10.21,9.86,10.035,11.66,11.44,11.55,3.42,3.48,3.45,16.52,16.5,16.51,17.67,16.61,17.14,3.38,no tarsus,3.38,6.32,8.66,3.28,2.15,neither
Y25,2006,Male,eight,0.01171,17.47,10.76,10.62,10.69,12.19,12.19,12.19,3.53,3.48,3.505,2.74,2.62,2.68,10.09,10.4,10.245,11.78,11.83,11.805,3.38,3.51,3.445,17.6,16.81,17.205,18.31,17.47,17.89,3.74,no tarsus,3.74,6.06,9.07,3.14,2.46,both
Y26,2006,Male,ten,0.01788,30.15,14.08,13.88,13.98,15.11,15.3,15.205,4.5,4.52,4.51,3.94,4.02,3.98,13.5,13.37,13.435,14.89,15.3,15.095,4.33,4.31,4.32,21.22,21.54,21.38,23.6,23.38,23.49,4.25,4.47,4.36,7.97,13.8,5.48,4.69,both
Y27,2006,Male,eight,0.01202,17.44,11.41,11.12,11.265,12.82,12.51,12.665,no tarsus,3.47,3.47,2.94,3,2.97,11.13,11,11.065,12.39,12.45,12.42,no tarsus,3.58,3.58,17.5,17.42,17.46,18.52,18.17,18.345,3.48,2.77,3.125,6.44,9.14,,,no picture
Y28,2006,Male,eight,0.02052,15.17,10.41,10.21,10.31,11.92,12.28,12.1,3.35,no tarsus,3.35,2.75,2.82,2.785,10.2,9.68,9.94,11.37,11.38,11.375,3.34,3.26,3.3,16.51,17.3,16.905,17.86,17.83,17.845,3.01,3.45,3.23,5.93,8.57,2.48,2.3,both
Y29,2006,Male,eight,0.01864,16.45,10.23,10.54,10.385,11.89,11.76,11.825,3.15,no tarsus,3.15,2.69,2.84,2.765,10.38,10.42,10.4,11.66,11.52,11.59,3.6,3.49,3.545,17.5,17.01,17.255,18.01,18.44,18.225,2.76,1.76,2.26,6.18,8.68,2.87,2.19,both
Y30,2006,Male,eight,0.0106,18.26,11.18,11.36,11.27,12.11,12.35,12.23,3.78,3.6,3.69,2.25,2.62,2.435,10.84,10.76,10.8,12.12,11.74,11.93,no tarsus,3.57,3.57,17.16,17.37,17.265,17.78,17.91,17.845,3.58,3.56,3.57,6.31,9.61,3.1,2.42,both are OK
Y31,2006,Male,nine,0.0137,19.52,11.12,11.32,11.22,12.03,12.53,12.28,3.83,3.69,3.76,2.85,3.06,2.955,10.97,11.08,11.025,11.71,12.01,11.86,3.47,3.66,3.565,18.51,17.92,18.215,18.76,18.64,18.7,3.57,3.4,3.485,6.2,10.48,3.43,3.02,left
Y32,2006,Male,eight,0.01626,18.45,10.75,10.63,10.69,12.6,12.63,12.615,3.43,3.68,3.555,2.99,2.96,2.975,10.19,10.21,10.2,11.81,12.05,11.93,3.55,3.39,3.47,17.98,17.65,17.815,18.84,19.16,19,3.14,3.57,3.355,6.64,9.27,3.66,2.62,left
Y33,2006,Male,ten,0.02648,25.05,13.09,13.18,13.135,15.06,15.01,15.035,4.24,4.16,4.2,4.06,3.76,3.91,12.37,12.58,12.475,14.44,14.01,14.225,4.25,4.2,4.225,20.99,21,20.995,22.33,21.99,22.16,no tarsus,4.28,4.28,6.98,12.75,5.22,3.96,left
Y34,2006,Male,eight,0.01643,15.79,9.93,9.56,9.745,11.22,11.16,11.19,3.38,3.27,3.325,2.07,1.92,1.995,9.7,9.5,9.6,10.37,10.31,10.34,3.25,3.21,3.23,16.17,16.16,16.165,16.62,16.93,16.775,3.33,no tarsus,3.33,6,8.48,2.99,2.63,both
Y35,2006,Male,ten,0.01068,25.05,12.02,12.28,12.15,13.33,13.5,13.415,3.63,3.87,3.75,3.83,2.89,3.36,11.67,11.51,11.59,13.16,12.86,13.01,3.75,3.82,3.785,19.57,20.39,19.98,20.86,20.92,20.89,3.52,no tarsus,3.52,7.33,12.26,4.21,2.93,left
Y36,2006,Male,ten,0.02547,24.67,12.35,12.46,12.405,14.01,14.12,14.065,4.15,4.18,4.165,3.67,3.86,3.765,12.1,12.02,12.06,13.48,13.14,13.31,4.02,3.93,3.975,20.04,20.06,20.05,21.55,21.59,21.57,4,3.63,3.815,6.99,11.53,4.94,4.12,both
Y37,2006,Male,ten,0.01485,29.54,13.35,13.23,13.29,14.98,14.93,14.955,4.07,4.33,4.2,3.93,3.97,3.95,13.01,13.22,13.115,14.57,14.53,14.55,4,4.06,4.03,21.51,21.67,21.59,21.95,22.25,22.1,4.25,4.23,4.24,7.09,13.73,5.63,4.37,left
Y38,2006,Male,ten,0.00853,27.3,12.56,12.89,12.725,14.64,14.79,14.715,4.16,4.08,4.12,3.83,3.89,3.86,13.23,12.47,12.85,13.86,13.66,13.76,4.22,4.06,4.14,20.51,20.9,20.705,21.29,21.66,21.475,4.34,3.99,4.165,7.41,13.05,4.34,4.47,both
Y666,2006,Male,ten,0.0166,28.71,12.42,12.39,12.405,14.76,14.45,14.605,4.12,4.19,4.155,3.47,3.4,3.435,11.62,11.53,11.575,13.76,13.64,13.7,3.95,2.83,3.39,20.61,20.15,20.38,20.98,21.75,21.365,4.06,4.09,4.075,7.08,13.27,4.8,4.42,left
