ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye,group,foreleg,midleg,hindleg,head_size,ear_linear,logP_c,log_head_size,log_foreleg,log_midleg,log_hindleg,log_foretibia,log_ear_linear,log_eye,current_label,legacy_2010_label,differs_from_2010,distance_to_inferred_cutpoint,within_0_25_mm,within_0_50_mm
HTCT,m,ninth,6.883,19.441,10.022,12.1655,12.4205,11.061,11.8425,17.391,19.044,2.7285000000000004,2.8555,Ninth instar,24.586,22.9035,36.435,13.958427633512308,1.651817181167456,-0.04502642260578238,2.636083457288018,3.2021771752451493,3.131289737309539,3.5955298511222455,2.519348333343969,0.5018760038220749,1.0492469591227807,Ninth instar,Ninth instar,FALSE,0.940999999999999,FALSE,FALSE
HZFK,m,eighth,6.394,15.555,8.729,10.8295,11.875,10.2625,11.204,16.522,18.53,2.3075,2.5535,Eighth instar,22.7045,21.4665,35.052,11.652450171530448,1.5190457530963313,-0.11872097538435988,2.4555164730514063,3.1225631427262863,3.0664935804369033,3.5568326731936044,2.474435349920705,0.41808234369743513,0.9374649671055616,Eighth instar,Eighth instar,FALSE,2.9450000000000003,FALSE,FALSE
IEJY,m,eighth,6.773,17.49,9.377,12.2005,12.4485,10.864,12.065,18.0015,19.6885,2.8665000000000003,2.7675,Eighth instar,24.649,22.929000000000002,37.69,12.806394106070607,1.6930741271426955,-0.06113690578924302,2.5499445857339995,3.204736331714479,3.132402484928857,3.629394807279044,2.5216001337244753,0.5265458866831502,1.017944385600655,Eighth instar,Eighth instar,FALSE,1.0100000000000016,FALSE,FALSE
IEPT,m,tenth,8.315,26.643,13.137,14.4845,14.6935,13.0695,14.533,20.6805,21.8,3.7465,3.2235,Tenth instar,29.178,27.6025,42.4805,18.708529899487026,1.9355877660287069,0.1439800866228811,2.9289795642159238,3.373415000649704,3.317906348331155,3.7490451471092356,2.6874052191249223,0.6604110354111142,1.1704677257685379,Tenth instar,Tenth instar,FALSE,2.493000000000002,FALSE,FALSE
IJNE,m,ninth,6.424,19.308,10.008,11.959499999999998,13.0075,11.045,12.278,17.7025,19.3755,2.9255,2.6609999999999996,Ninth instar,24.967,23.323,37.078,13.900879972145647,1.71040930773894,-0.11404004937754908,2.6319521454814283,3.2175549529007847,3.149439998148207,3.613023801810401,2.5655261141823216,0.5367327031230769,0.978701991995552,Ninth instar,Ninth instar,FALSE,0.8079999999999998,FALSE,FALSE
ILNB,m,tenth,7.986,28.721,13.475,14.826,15.2115,13.407,14.9305,21.793,23.204,4.2485,3.4415,Tenth instar,30.0375,28.3375,44.997,19.672708888203474,2.0611889772653065,0.10360898261902007,2.9792323396552116,3.4024466010625876,3.3441860158336474,3.806595820881332,2.7220517207380235,0.7232829897307295,1.2359074228562819,Tenth instar,Tenth instar,FALSE,4.5710000000000015,FALSE,FALSE
IULK,m,ninth,7.44,21.772,11.028,13.452,14.107,12.4105,13.4985,18.819000000000003,20.582500000000003,3.612,2.895,Ninth instar,27.558999999999997,25.909,39.401500000000006,15.495212680050571,1.900526242912736,0.03278982282299103,2.740531116866752,3.3163291610169137,3.2545903986921942,3.6738038866451936,2.646671128092365,0.6421308177773696,1.0629851110249586,Ninth instar,Ninth instar,FALSE,2.378,FALSE,FALSE
IVMB,m,ninth,6.781,18.67,10.015,12.5145,12.9055,11.458,12.684,17.556,19.359,2.996,2.8095,Ninth instar,25.42,24.142,36.915000000000006,13.674064867478142,1.7308957218735044,-0.059956442320304504,2.6155009633357063,3.2355362657613083,3.183953062278935,3.608617972511129,2.5576535770926294,0.5486390328274865,1.0330065315701158,Ninth instar,Eighth instar,TRUE,0.1700000000000017,TRUE,TRUE
JDYH,m,ninth,6.774,19.74,10.168,11.907,12.843,10.84,12.246,17.551499999999997,18.9925,2.9000000000000004,2.792,Ninth instar,24.75,23.086,36.544,14.167438724060181,1.7029386365926402,-0.06098927162642975,2.650946283946244,3.2088254890146994,3.1392263731927206,3.5985170140335447,2.552798915830919,0.5323553684962142,1.026758184900126,Ninth instar,Ninth instar,FALSE,1.2399999999999984,FALSE,FALSE
JONV,m,ninth,7.342,23.156,11.785,13.6955,14.4025,12.39,13.526,19.381,20.695,3.4595,2.8935000000000004,Ninth instar,28.098,25.916,40.076,16.519487280179128,1.8599731180853125,0.019530259052632948,2.8045407313024264,3.3356983994294596,3.2548605385877107,3.6907776513970165,2.667401802624401,0.6205620349783644,1.0624668420317565,Ninth instar,Ninth instar,FALSE,0.9939999999999998,FALSE,FALSE
JOYH,m,tenth,7.414,24.457,12.21,13.416,13.832,12.1225,13.2905,19.512,21.011,3.519,3.1275,Tenth instar,27.248,25.413,40.522999999999996,17.28062412067342,1.8758997841036178,0.029289078706530747,2.8495858808181933,3.3049801239203327,3.2352608541175236,3.701869714152181,2.6269847483809894,0.6290884291697241,1.1402339633589291,Tenth instar,Tenth instar,FALSE,0.30700000000000216,FALSE,TRUE
JOZD,m,eighth,7.256,16.209,9.412,11.2775,11.95,10.3275,11.4135,17.057,17.9255,3.1285,2.7855,Eighth instar,23.2275,21.741,34.9825,12.351482016341198,1.7687566254292872,0.007747686790825936,2.5137760571975774,3.1453369215333304,3.079199878795254,3.5548479364477314,2.4807312783775197,0.5702768282281405,1.024427390478733,Eighth instar,Eighth instar,FALSE,2.2910000000000004,FALSE,FALSE
