ID,sex,morph,pronotum,head_length,head_width,forefemur,foretibia,midfemur,midtibia,hindfemur,hindtibia,ear,eye
LGMD,f,female,8.013,13.444,8.454,13.1555,13.464500000000001,12.463000000000001,13.3385,21.694499999999998,22.1895,3.3200000000000003,2.7535
LHWT,m,tenth,7.689,26.757,12.899,14.4475,14.914,13.104,14.0835,20.8675,22.2285,3.7489999999999997,3.0835
LIHW,f,female,7.769,12.258,7.699,11.8575,12.4515,11.538499999999999,12.4895,19.965000000000003,21.009,2.7845,2.6550000000000002
LJJN,m,tenth,7.873,27.681,13.043,13.927499999999998,14.5155,12.719000000000001,14.3845,19.988,22.311999999999998,3.542,3.5460000000000003
LKHO,m,eighth,6.561,17.2,9.208,11.656500000000001,12.6955,10.8,12.0175,17.203,19.075499999999998,2.6285,2.5665
LLJC,m,tenth,7.639,27.183,13.245,13.469,14.7275,12.930499999999999,13.8935,19.615,21.677,3.9895,3.287
LMMX,f,female,7.522,12.976,8.052,11.896,12.7725,11.572,12.407499999999999,20.5615,22.112000000000002,2.8019999999999996,2.6965000000000003
LNMX,f,female,7.902,11.632,7.499,12.2955,12.595,11.707,12.227,19.897,21.826,2.52,2.4945000000000004
LQLO,f,female,7.954,12.748,8.189,12.962,13.579,12.3935,13.231,21.075,22.270000000000003,3.016,2.543
LRRL,m,tenth,7.505,25.553,12.528,13.938500000000001,14.567,12.885,13.945,19.5425,20.4675,3.1710000000000003,3.193
LRSS,m,ninth,7.33,21.951,11.401,13.243500000000001,13.6845,12.229,13.325,20.1825,21.399500000000003,3.3115,2.6390000000000002
LTEN,f,female,7.65,13.47,8.255,11.7775,12.7425,11.113,12.564,20.3205,21.467,2.9615,2.5625
LUXM,f,female,8.022,12.93,8.356,12.6065,13.5785,12.0585,13.6785,20.079,22.414,2.9204999999999997,2.773
LYTH,f,female,7.491,12.545,7.675,11.9865,13.262,11.783999999999999,12.45,20.6205,22.0245,2.9825,2.4255
MAKB,m,tenth,7.277,24.642,12.115,13.383,13.9925,12.006,13.2345,19.493000000000002,21.207500000000003,3.4375,3.034
MEAE,f,female,7.273,11.746,7.406,11.431999999999999,12.3805,11.389,12.1115,19.9845,20.1925,2.939,2.5465
MEMQ,m,eighth,6.196,15.978,8.865,10.5075,11.341999999999999,10.060500000000001,11.2525,16.558999999999997,17.62,2.2525,2.4735
MJSX,m,eighth,6.586,13.104,8.215,10.418,11.3995,10.01,11.041,16.310499999999998,17.945,2.69,2.176
MKMF,m,ninth,6.892,21.856,10.745,12.788,13.597000000000001,11.707999999999998,13.797,19.055,21.194000000000003,2.771,2.6065
MLES,f,female,8.022,12.805,8.17,12.4115,12.891,11.984,13.279,20.3185,21.9535,2.8355,2.614
MONY,m,eighth,6.874,18.497,9.554,12.4495,12.940999999999999,12.1035,12.8155,18.463,19.6055,2.8345000000000002,2.606
MQFA,f,female,8.529,13.63,8.524,13.3725,13.805,12.858,13.751,21.999499999999998,23.792,3.968,2.7215
MTZI,f,female,7.343,12.001,7.452,11.899000000000001,12.416,11.5765,12.537500000000001,19.4875,20.011499999999998,2.767,2.6595
MUVY,m,tenth,7.374,25.853,12.644,13.5175,14.065000000000001,12.5225,13.963000000000001,19.707500000000003,22.128500000000003,3.1265,3.0345
MVOV,m,eighth,6.187,13.219,8.007,9.8585,10.659,9.499500000000001,10.754,15.1625,16.192500000000003,2.101,2.2735000000000003
MXAY,f,female,7.548,12.119,7.941,12.378,13.273499999999999,12.016,13.471,20.625999999999998,23.344,3.6175,2.5345
MYTW,f,female,8.093,13.536,8.881,13.21,13.807,12.742,13.5485,21.47,22.64,3.7030000000000003,2.891
NACP,m,ninth,6.378,19.432,9.991,12.2,12.6295,11.0445,12.308499999999999,18.1735,19.4185,2.735,2.5835
NAPZ,m,ninth,6.444,19.13,9.955,11.615,12.6695,11.086,12.2975,17.508499999999998,19.121,2.734,2.6845
NBFT,m,ninth,7.232,22.166,11.334,13.4985,14.178999999999998,11.972999999999999,13.397,18.3905,20.2765,3.123,2.7615
NDWV,m,ninth,6.768,22.145,11.591,12.6065,13.026,11.8615,12.957,18.1355,20.575499999999998,2.7825,2.7735000000000003
NFQJ,f,female,8.18,13.722,8.71,12.432500000000001,13.095500000000001,12.4665,13.266,20.536,22.0185,2.8025,2.607
NFZB,f,female,8.037,13.2,8.405,12.4005,13.023,12.2795,12.9435,20.5525,21.365499999999997,3.3425000000000002,2.7945
NLMH,f,female,7.911,13.532,8.443,12.5015,12.876000000000001,11.7005,12.777999999999999,21.066000000000003,23.358,3.311,2.546
NMCP,m,ninth,7.237,22.578,11.322,13.261500000000002,13.841,11.9435,13.151,19.005,20.4285,3.093,3.0164999999999997
NRDG,m,eighth,6.364,15.594,8.86,11.647,12.189499999999999,10.872,12.0505,16.368000000000002,18.118000000000002,2.638,2.5439999999999996
NRVV,m,eighth,6.223,16.524,8.97,11.1995,11.82,10.6235,11.462499999999999,16.8245,18.485500000000002,2.4755,2.5890000000000004
NSFR,m,ninth,6.882,21.072,10.902,12.32,12.8895,11.5455,12.838000000000001,18.278,19.6755,2.6950000000000003,2.8095
NUDB,f,female,8.325,13.515,8.315,12.5085,13.176,12.342500000000001,13.241,21.674999999999997,24.115499999999997,2.81,2.7
NVHP,m,eighth,6.63,17.934,9.571,12.063500000000001,12.484,11.049,12.146999999999998,16.759999999999998,18.7815,2.499,2.7234999999999996
OCGB,f,female,7.318,11.977,7.437,11.7265,12.629000000000001,11.856,12.7545,19.3355,20.8935,2.8440000000000003,2.514
ODLJ,m,eighth,6.399,16.864,9.409,11.519,12.47,11.074,12.4145,17.421,18.859,2.9355,2.4000000000000004
OHRS,f,female,7.854,13.107,8.015,12.458,13.346499999999999,12.109000000000002,13.196,21.0965,22.381,3.18,2.771
OHZZ,m,eighth,6.78,17.619,9.462,11.9265,12.532499999999999,11.4925,12.427,17.46,18.2325,2.8585000000000003,2.4595000000000002
OLFY,f,female,7.604,11.899,7.391,11.8965,12.607,11.566,12.729,19.442,20.9405,2.961,2.4255
ONAU,f,female,7.438,11.382,7.124,11.3995,12.564499999999999,11.311499999999999,12.4575,19.151,20.570999999999998,3.016,2.325
OQDA,m,ninth,7.01,19.668,10.283,12.0715,12.4785,11.3475,12.024000000000001,18.287,19.242,2.672,2.7005
OTIL,f,female,7.725,12.984,8.18,12.91,13.720500000000001,12.5185,13.4595,21.756999999999998,23.307499999999997,3.1405000000000003,2.8265000000000002
OVOZ,f,female,6.859,11.577,7.088,11.3655,12.4925,11.418,12.09,18.307000000000002,20.063,2.9585,2.2409999999999997
OWAU,m,ninth,6.859,22.281,11.248,12.720500000000001,12.877500000000001,11.888,12.5835,19.094,20.686999999999998,2.6094999999999997,2.9835000000000003
OZHE,f,female,7.074,10.994,7.082,11.119,11.813,10.731,11.9785,18.214,19.2825,2.874,2.2845
PAQJ,m,ninth,6.322,18.731,9.473,10.928,11.72,10.182500000000001,11.395,16.6485,18.3905,2.2365,2.6109999999999998
PBXK,m,eighth,6.786,16.509,9.14,11.009,11.934999999999999,10.6075,11.9755,16.556,17.7575,2.4745,2.527
PFPR,m,eighth,6.048,15.255,8.383,10.5875,11.213000000000001,9.8065,11.0225,15.8185,16.868000000000002,2.3585000000000003,2.487
PIKP,m,tenth,7.657,25.808,12.814,13.437,14.281,12.408,14.087,19.162,21.762500000000003,2.8994999999999997,3.0425
PMTK,m,eighth,6.097,14.922,8.338,10.3385,11.157,9.5595,10.839,15.248,17.235500000000002,2.4059999999999997,2.3975
PQXQ,f,female,7.399,12.589,8.092,11.8065,12.8615,11.467500000000001,12.945,19.941000000000003,21.566000000000003,2.846,2.7125
PTRO,f,female,7.38,11.8,7.429,11.755,11.985,11.2895,12.3005,18.948999999999998,19.778,2.7110000000000003,2.559
PVUO,m,ninth,6.915,20.205,10.555,12.5585,13.378,12.0305,12.972,18.906,20.0565,3.0715,2.919
PVXU,f,female,7.726,12.694,8.024,12.6005,12.7835,12.261,12.94,20.8615,22.200000000000003,3.117,2.689
