"trait","model","contrast","n","estimate_log","SE","df","lower_95_log","upper_95_log","p_value","percent","lower_95_percent","upper_95_percent","units","df_method","p_holm","holm_family","direction","holm_below_05"
"hindleg","M3_free_groups","ninth_minus_midpoint",311,0.00811221923757895,0.00815392176554821,186.594376371264,-0.00797350301960677,0.0241979414947647,0.321080314529353,0.814521244375457,-0.794179896449157,2.4493087514817,"percent length","Welch-Satterthwaite (independent group regressions)",1,"Five traits: M3_free_groups ninth_minus_midpoint","positive",FALSE
"ear_lin","M0_original","average_male_step",313,0.0349268689340907,0.00611989280800461,309,0.0228849340342804,0.046968803833901,2.69357101248313e-08,3.55439755957008,2.31488031685108,4.80893122013797,"percent linearised tympanic size","residual (matches OLS)",2.69357101248313e-08,"Five traits: M0_original average_male_step","positive",TRUE
"ear_lin","M0_original","matched_sex",313,0.0761237376653835,0.00772477401915398,309,0.0609239247319397,0.0913235505988274,4.22595124144215e-20,7.90960907275903,6.28180569430347,9.56234375362897,"percent linearised tympanic size","residual (matches OLS)",8.45190248288431e-20,"Five traits: M0_original matched_sex","positive",TRUE
"ear_lin","M0_original","step_minus_sex",313,-0.0411968687312928,0.00812657005299571,309,-0.0571872840223786,-0.0252064534402071,6.88754471881887e-07,-4.03598117963008,-5.55828214453741,-2.48914232743756,"percent ratio of multiplicative effects (not percentage points)","residual (matches OLS)",1.37750894376377e-06,"Five traits: M0_original step_minus_sex","negative",TRUE
"ear_lin","M1_group_variance","average_male_step",313,0.0350695122597847,0.00599147808673421,194.428560890265,0.0232528780409578,0.0468861464786115,2.01986851833211e-08,3.5691699567951,2.3525333905442,4.80026834910252,"percent linearised tympanic size","Satterthwaite (emmeans)",2.01986851833211e-08,"Five traits: M1_group_variance average_male_step","positive",TRUE
"ear_lin","M1_group_variance","matched_sex",313,0.0758035301790764,0.00776006706855015,131.524849337633,0.060452837479589,0.0911542228785638,2.78738713605481e-17,7.87506113963806,6.23174948183159,9.5437933823248,"percent linearised tympanic size","Satterthwaite (emmeans)",5.57477427210962e-17,"Five traits: M1_group_variance matched_sex","positive",TRUE
"ear_lin","M1_group_variance","step_minus_sex",313,-0.0407340179192917,0.00808872309774583,291.362816052317,-0.0566537518929447,-0.0248142839456388,8.35005649259497e-07,-3.99155387478227,-5.50788100958575,-2.45089404425445,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",1.67001129851899e-06,"Five traits: M1_group_variance step_minus_sex","negative",TRUE
"ear_lin","M2_group_slopes","average_male_step",313,0.0351745583386687,0.00794579427041726,98.900404354932,0.0194081822404542,0.0509409344368832,2.4668500393574e-05,3.5800500634386,1.95977453820481,5.22607390745362,"percent linearised tympanic size","Satterthwaite (emmeans)",2.4668500393574e-05,"Five traits: M2_group_slopes average_male_step","positive",TRUE
"ear_lin","M2_group_slopes","matched_sex",313,0.078418146882115,0.0120833239439998,149.094871761985,0.0545414639269555,0.102294829837274,1.19758063849786e-09,8.15748212675918,5.6056263745702,10.7710009550885,"percent linearised tympanic size","Satterthwaite (emmeans)",2.39516127699572e-09,"Five traits: M2_group_slopes matched_sex","positive",TRUE
"ear_lin","M2_group_slopes","step_minus_sex",313,-0.0432435885434462,0.00930195862933624,217.892732417341,-0.0615769212864557,-0.0249102558004367,5.78120595276751e-06,-4.23219177565162,-5.97193846369716,-2.46025556365853,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",1.1562411905535e-05,"Five traits: M2_group_slopes step_minus_sex","negative",TRUE
"ear_lin","M3_free_groups","average_male_step",313,0.0354229227426119,0.00796730841719367,101.928263285467,0.0196196707756835,0.0512261747095404,2.23244027357041e-05,3.60577885575884,1.98134014193278,5.25609290257527,"percent linearised tympanic size","Welch-Satterthwaite (independent group regressions)",2.23244027357041e-05,"Five traits: M3_free_groups average_male_step","positive",TRUE
"ear_lin","M3_free_groups","matched_sex",313,0.0748143981329115,0.0133067539784598,74.3300419782171,0.048302068078916,0.101326728186907,3.12936995502239e-07,7.76841121380789,4.94876241594528,10.6638152579475,"percent linearised tympanic size","Welch-Satterthwaite (independent group regressions)",6.25873991004479e-07,"Five traits: M3_free_groups matched_sex","positive",TRUE
"ear_lin","M3_free_groups","step_minus_sex",313,-0.0393914753902995,0.0110298283688957,215.39944016426,-0.0611316910165208,-0.0176512597640783,0.000438005460036746,-3.86257189019012,-5.93006500350361,-1.74963888395274,"percent ratio of multiplicative effects (not percentage points)","Welch-Satterthwaite (independent group regressions)",0.000876010920073493,"Five traits: M3_free_groups step_minus_sex","negative",TRUE
"ear_lin","M3_free_groups","ninth_minus_eighth",313,0.0424008646504863,0.0136580784526577,126.838037995055,0.0153736602561673,0.0694280690448054,0.00235147559182537,4.33126220853232,1.5492442898361,7.18949560036251,"percent linearised tympanic size","Welch-Satterthwaite (independent group regressions)",0.00321321591057414,"Five traits: M3_free_groups ninth_minus_eighth","positive",TRUE
"ear_lin","M3_free_groups","tenth_minus_ninth",313,0.0284449808347376,0.0130542052757532,67.9924300654729,0.00239566726874076,0.0544942944007344,0.032801367163052,2.88534026218802,0.239853917248937,5.60064512469036,"percent linearised tympanic size","Welch-Satterthwaite (independent group regressions)",0.032801367163052,"Five traits: M3_free_groups tenth_minus_ninth","positive",TRUE
"ear_lin","M3_free_groups","ninth_minus_midpoint",313,0.00697794190787436,0.0107237907376795,178.700502827188,-0.0141836140111369,0.0281394978268856,0.516077653439532,0.700234447137843,-1.40835004409317,2.85391533911525,"percent linearised tympanic size","Welch-Satterthwaite (independent group regressions)",1,"Five traits: M3_free_groups ninth_minus_midpoint","positive",FALSE
"eye","M0_original","average_male_step",313,0.0663127131026316,0.00729476931418447,309,0.0519590079077224,0.0806664182975409,1.22341885366505e-17,6.85608178931471,5.33325633227334,8.40092306029142,"percent length","residual (matches OLS)",3.67025656099515e-17,"Five traits: M0_original average_male_step","positive",TRUE
"eye","M0_original","matched_sex",313,0.220280000883296,0.00920775024036849,309,0.202162178815693,0.238397822950899,2.65844909188511e-72,24.6425682023675,22.4046506427578,26.9214014868073,"percent length","residual (matches OLS)",1.06337963675405e-71,"Five traits: M0_original matched_sex","positive",TRUE
"eye","M0_original","step_minus_sex",313,-0.153967287780664,0.00968668172988675,309,-0.173027489396273,-0.134907086165056,5.43730954638741e-42,-14.2699935259477,-15.8885507202784,-12.6202904244456,"percent ratio of multiplicative effects (not percentage points)","residual (matches OLS)",2.17492381855496e-41,"Five traits: M0_original step_minus_sex","negative",TRUE
"eye","M1_group_variance","average_male_step",313,0.0659642156331026,0.00725330164366308,190.360068187697,0.0516570471863498,0.0802713840798553,1.26390556974681e-16,6.81884920331518,5.30145462788117,8.35810944343249,"percent length","Satterthwaite (emmeans)",5.05562227898726e-16,"Five traits: M1_group_variance average_male_step","positive",TRUE
"eye","M1_group_variance","matched_sex",313,0.221198913453048,0.0088634271217861,109.258676922781,0.20363235584434,0.238765471061756,6.11976186339057e-47,24.7571564652492,22.5847394971434,26.9680724790166,"percent length","Satterthwaite (emmeans)",2.44790474535623e-46,"Five traits: M1_group_variance matched_sex","positive",TRUE
"eye","M1_group_variance","step_minus_sex",313,-0.155234697819946,0.00941408677263007,285.351269446223,-0.173764560330195,-0.136704835309696,2.26763945735801e-43,-14.3785797706368,-15.9505239826017,-12.7772361058422,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",1.133819728679e-42,"Five traits: M1_group_variance step_minus_sex","negative",TRUE
"eye","M2_group_slopes","average_male_step",313,0.0735927188781557,0.00985517455994111,96.4778539192995,0.054031588454279,0.0931538493020324,3.6572395776718e-11,7.63683317095768,5.55179438087803,9.76305919789707,"percent length","Satterthwaite (emmeans)",7.31447915534361e-11,"Five traits: M2_group_slopes average_male_step","positive",TRUE
"eye","M2_group_slopes","matched_sex",313,0.233394600718223,0.0136670044286083,119.262902264106,0.20633317966397,0.260456021772476,7.94791423050934e-34,26.2879714261141,22.9162667783637,29.7521649895275,"percent length","Satterthwaite (emmeans)",3.17916569220374e-33,"Five traits: M2_group_slopes matched_sex","positive",TRUE
"eye","M2_group_slopes","step_minus_sex",313,-0.159801881840067,0.0105257811379541,245.960248419531,-0.180534047180441,-0.139069716499693,3.52900516963894e-37,-14.7687369149551,-16.5175743199038,-12.9832638679053,"percent ratio of multiplicative effects (not percentage points)","Satterthwaite (emmeans)",1.41160206785558e-36,"Five traits: M2_group_slopes step_minus_sex","negative",TRUE
"eye","M3_free_groups","average_male_step",313,0.0717661878943167,0.0100213956882789,110.310902978659,0.0519067562874179,0.0916256195012156,9.45370909089874e-11,7.44041060073283,5.32775264274763,9.59544412959514,"percent length","Welch-Satterthwaite (independent group regressions)",1.89074181817975e-10,"Five traits: M3_free_groups average_male_step","positive",TRUE
"eye","M3_free_groups","matched_sex",313,0.23912958739888,0.0148119320218131,70.4329502483745,0.209591312697431,0.268667862100328,2.27043756428039e-25,27.0143120462793,23.3173974411878,30.8220559251062,"percent length","Welch-Satterthwaite (independent group regressions)",9.08175025712155e-25,"Five traits: M3_free_groups matched_sex","positive",TRUE
"eye","M3_free_groups","step_minus_sex",313,-0.167363399504563,0.0129415659504726,215.455094041609,-0.192871686152203,-0.141855112856922,1.08151599837588e-28,-15.4107841314879,-17.5412226618742,-13.2253027241844,"percent ratio of multiplicative effects (not percentage points)","Welch-Satterthwaite (independent group regressions)",4.32606399350353e-28,"Five traits: M3_free_groups step_minus_sex","negative",TRUE
"eye","M3_free_groups","ninth_minus_eighth",313,0.0583716282573771,0.0180789144003279,119.200512170154,0.0225741905894026,0.0941690659253517,0.00160660795528707,6.01088889338526,2.2830915778061,9.87454906382805,"percent length","Welch-Satterthwaite (independent group regressions)",0.00321321591057414,"Five traits: M3_free_groups ninth_minus_eighth","positive",TRUE
"eye","M3_free_groups","tenth_minus_ninth",313,0.0851607475312563,0.0151594460568003,73.0885579835811,0.0549486318232319,0.115372863239281,3.31078792215899e-07,8.88920893459594,5.64863435043544,12.2291820930974,"percent length","Welch-Satterthwaite (independent group regressions)",1.32431516886359e-06,"Five traits: M3_free_groups tenth_minus_ninth","positive",TRUE
"eye","M3_free_groups","ninth_minus_midpoint",313,-0.0133945596369396,0.0133379010260482,186.851542570717,-0.0397067870713963,0.0129176677975172,0.316557851747055,-1.33052517144589,-3.89288036570446,1.30014612849274,"percent length","Welch-Satterthwaite (independent group regressions)",1,"Five traits: M3_free_groups ninth_minus_midpoint","negative",FALSE
