"trait","model","group","n","observed_mean_log","fitted_mean_log","simulated_mean_lower","simulated_mean_upper","observed_sd_log","simulated_sd_lower","simulated_sd_upper","mean_in_simulation_band","sd_in_simulation_band","residual_sd_model","normalised_residual_mean","normalised_residual_sd"
"hindleg","M3_free_groups","eighth",76,3.53158650143028,3.53158650143027,3.52332000966339,3.54002334348848,0.0531631198131494,0.0457209168645671,0.0605391002753137,TRUE,TRUE,0.0374359780448394,1.02711333590346e-13,0.993313025918662
"hindleg","M3_free_groups","ninth",79,3.65053027713622,3.65053027713621,3.64287260223456,3.65787528037871,0.0435550559868974,0.0372719526123714,0.0496393259764966,TRUE,TRUE,0.0348730553133685,1.14625608582945e-13,0.993567492376563
"hindleg","M3_free_groups","tenth",38,3.72745353663988,3.72745353663987,3.71729529842014,3.73706244437097,0.0328393885805859,0.0254332265844885,0.0411778143687877,TRUE,TRUE,0.0313453511886631,1.33466337397175e-13,0.986388755861945
"ear_lin","M0_original","female",118,0.561442935818206,0.561442935818206,0.553139828459274,0.569358498182514,0.052984887772904,0.0471089199435303,0.0605711712082468,TRUE,TRUE,0.0456295497677163,-1.05151292569583e-14,0.995838564465143
"ear_lin","M0_original","eighth",78,0.456134282335019,0.458424340783446,0.447793294981195,0.468695356685902,0.0527991667333489,0.0467849187691423,0.0636490904927058,TRUE,TRUE,0.0456295497677163,-0.0501880570833008,0.930513634185391
"ear_lin","M0_original","ninth",79,0.543649932368661,0.539127791635058,0.529358192833281,0.549161810204035,0.0557243557378188,0.0440622141000395,0.0599924654104032,TRUE,TRUE,0.0456295497677163,0.0991055304429454,1.06415735182856
"ear_lin","M0_original","tenth",38,0.61311941610957,0.617820062398447,0.603500939244959,0.632136017770747,0.0482234147661895,0.0391179501368447,0.061641297397319,TRUE,TRUE,0.0456295497677163,-0.103017590855186,0.994519835781903
"ear_lin","M1_group_variance","female",118,0.561442935818206,0.561442935818206,0.553035226805942,0.569343942329309,0.052984887772904,0.046895559120913,0.0602009211907105,TRUE,TRUE,0.0455160259345358,-5.73129114788487e-15,0.998296075308553
"ear_lin","M1_group_variance","eighth",78,0.456134282335019,0.458019860386167,0.448825827049775,0.467684340545147,0.0527991667333489,0.0443973256965144,0.060337080141054,TRUE,TRUE,0.0425666669548702,-0.0442970565007388,0.997492605007881
"ear_lin","M1_group_variance","ninth",79,0.543649932368661,0.538781758019736,0.527829657087805,0.549463695504725,0.0557243557378188,0.0463822155747695,0.0624775175166506,TRUE,TRUE,0.0486722806633958,0.100019441919959,0.997684471287826
