 ,Label,Area,Angle,Length
144,SEVZ-1st leg-left.jpg:0759-2218,3.458,0,0
145,SMVB-1st leg-left.jpg:1935-1631,0.063,5.433,12.032
146,SMVB-1st leg-left.jpg:2357-1712,0.066,-13.038,12.555
147,SMVB-1st leg-left.jpg:2278-1192,2.567,0,0
148,SMVB-1st leg-right.jpg:1548-1284,0.063,-49.942,11.949
149,SMVB-1st leg-right.jpg:0749-1761,0.067,-3.211,12.71
150,SMVB-1st leg-right.jpg:0639-1252,2.74,0,0
151,SMXT-1st leg-left.jpg:1167-1977,0.055,-5.226,10.423
152,SMXT-1st leg-left.jpg:1616-1940,0.057,-27.646,10.878
153,SMXT-1st leg-left.jpg:1423-1540,2.141,0,0
154,SMXT-1st leg-right.jpg:1628-3339,0.055,-75.481,10.477
155,SMXT-1st leg-right.jpg:2208-2694,0.056,-23.962,10.597
156,SMXT-1st leg-right.jpg:2425-3016,2.116,0,0
157,TKSH-1st leg-left.jpg:1172-1862,0.071,-13.661,13.466
158,TKSH-1st leg-left.jpg:1788-1790,0.071,-26.595,13.43
159,TKSH-1st leg-left.jpg:1566-1306,2.424,0,0
160,TKSH-1st leg-right.jpg:1314-3254,0.07,-17.683,13.336
161,TKSH-1st leg-right.jpg:1908-3023,0.071,-2.014,13.505
162,TKSH-1st leg-right.jpg:1933-3525,2.925,0,0
163,UKOQ-1st leg-left.jpg:1269-2133,0.073,-26.211,13.756
164,UKOQ-1st leg-left.jpg:1947-1841,0.076,-44.688,14.4
165,UKOQ-1st leg-left.jpg:1584-1392,3.458,0,0
166,UKOQ-1st leg-right.jpg:2030-1970,0.073,-45.371,13.807
167,UKOQ-1st leg-right.jpg:1220-2438,0.076,-5.979,14.43
168,UKOQ-1st leg-right.jpg:1092-1860,3.525,0,0
169,UNBX-1st leg-left.jpg:2379-3230,0.06,-31.963,11.358
170,UNBX-1st leg-left.jpg:1922-3399,0.067,-52.605,12.766
171,UNBX-1st leg-left.jpg:2352-3751,2.572,0,0
172,UNBX-1st leg-right.jpg:1767-1664,0.06,-61.791,11.348
173,UNBX-1st leg-right.jpg:1407-2193,0.066,-29.871,12.517
174,UNBX-1st leg-right.jpg:1125-1755,2.486,0,0
175,UQVJ-1st leg-left.jpg:1244-2297,0.064,-1.415,12.171
176,UQVJ-1st leg-left.jpg:1782-2216,0.064,-26.997,12.2
177,UQVJ-1st leg-left.jpg:1563-1780,2.645,0,0
